FORWARD_TEXT_FORMAT_1.0
STDEP =   290.0000
ENDEP =  2716.0000
RLEV  =     0.1250
CURVENAME =  RT, RI, RXO, CALI, AC, GR, DEN, CNL, R025, RA2, BZSP, R2M, SP
END
#DEPTH            RT         RI        RXO       CALI         AC         GR        DEN        CNL       R025        RA2       BZSP        R2M         SP
 313.3750       2.318      1.706      0.516    -47.233     90.591      2.201    123.000     12.555      7.108     19.360     -1.287     19.360     -1.287
 313.5000       2.409      1.777      0.525    -47.265     91.239      2.201    123.000     12.555      6.492     19.235     -1.241     19.235     -1.241
 313.6250       2.464      1.830      0.530    -47.229     89.361      2.201    121.000     12.555      5.957     16.864     -1.154     16.864     -1.154
 313.7500       2.447      1.841      0.532    -47.197     86.057      2.201    122.000     12.555      5.563     13.062     -1.049     13.062     -1.049
 313.8750       2.311      1.768      0.533    -47.248     84.006      2.201    122.000     12.555      5.266      9.874     -0.928      9.874     -0.928
 314.0000       2.228      1.713      0.525    -47.027     81.062      2.201    120.000     12.672      5.052      8.157     -0.811      8.157     -0.811
 314.1250       2.141      1.665      0.521    -46.739     80.313      2.201    118.000     12.672      4.910      7.474     -0.684      7.474     -0.684
 314.2500       2.033      1.618      0.520    -46.390     79.444      2.201    116.000     12.672      4.823      7.256     -0.579      7.256     -0.579
 314.3750       1.930      1.572      0.518    -46.045     78.392      2.201    114.000     12.672      4.790      7.284     -0.521      7.284     -0.521
 314.5000       1.880      1.538      0.513    -45.794     78.710      2.201    105.000     12.672      4.782      7.446     -0.488      7.446     -0.488
 314.6250       1.858      1.535      0.518    -45.589     79.633      2.201    103.000     12.672      4.783      7.755     -0.487      7.755     -0.487
 314.7500       1.890      1.558      0.515    -45.518     79.526      2.201    105.000     12.672      4.774      8.247     -0.500      8.247     -0.500
 314.8750       1.945      1.603      0.510    -45.567     80.038      2.201    107.000     12.672      4.740      8.913     -0.529      8.913     -0.529
 315.0000       2.020      1.667      0.507    -45.691     78.969      2.201    103.000     12.672      4.691      9.630     -0.552      9.630     -0.552
 315.1250       2.104      1.741      0.509    -45.862     76.150      2.201     96.000     12.672      4.639     10.304     -0.580     10.304     -0.580
 315.2500       2.149      1.814      0.507    -46.092     76.560      2.201    103.000     12.672      4.588     10.872     -0.604     10.872     -0.604
 315.3750       2.081      1.798      0.501    -46.017     79.978      2.201    111.000     12.672      4.533     11.293     -0.612     11.293     -0.612
 315.5000       2.024      1.758      0.497    -46.080     79.120      2.201    113.000     12.672      4.486     11.582     -0.622     11.582     -0.622
 315.6250       1.995      1.725      0.495    -46.196     78.045      2.201    110.000     12.672      4.456     11.701     -0.633     11.701     -0.633
 315.7500       2.047      1.750      0.494    -46.351     76.385      2.201    107.000     12.672      4.446     11.602     -0.628     11.602     -0.628
 315.8750       2.248      1.889      0.493    -46.577     74.192      2.201    111.000     12.672      4.462     11.282     -0.611     11.282     -0.611
 316.0000       2.623      2.163      0.491    -46.962     88.398      2.201     17.266      1.834      4.491     10.893     -0.589     10.893     -0.589
 316.1250       3.100      2.596      0.493    -47.184    104.708      2.201     17.266      1.834      4.525     10.527     -0.575     10.527     -0.575
 316.2500       3.666      3.133      0.494    -47.250    119.203      2.201     17.266      1.834      4.559     10.218     -0.567     10.218     -0.567
 316.3750       4.110      3.525      0.494    -47.250    127.041      2.201     17.266      1.834      4.590      9.984     -0.552      9.984     -0.552
 316.5000       4.223      3.618      0.491    -47.250    127.593      2.201     17.266      1.834      4.613      9.835     -0.531      9.835     -0.531
 316.6250       3.878      3.451      0.478    -47.249    126.210      2.201     17.266      1.834      4.629      9.782     -0.491      9.782     -0.491
 316.7500       3.662      3.285      0.476    -47.224    127.235      2.201     17.266      1.834      4.630      9.875     -0.457      9.875     -0.457
 316.8750       3.595      3.237      0.478    -47.178    129.125      2.201     17.266      1.834      4.588     10.161     -0.419     10.161     -0.419
 317.0000       3.472      3.120      0.479    -47.021    124.520      2.201     17.266      1.834      4.484     10.403     -0.387     10.403     -0.387
 317.1250       3.264      2.918      0.484    -46.716    115.510      2.201     17.266      1.834      4.334     10.290     -0.351     10.290     -0.351
 317.2500       3.004      2.698      0.500    -46.285    108.185      2.201     17.266      1.834      4.169      9.697     -0.286      9.697     -0.286
 317.3750       2.633      2.500      0.507    -45.875    106.852      2.201     17.266      1.834      4.022      8.881     -0.235      8.881     -0.235
 317.5000       2.367      2.300      0.514    -45.678    102.628      2.201     17.266      1.834      3.887      8.280     -0.189      8.280     -0.189
