FORWARD_TEXT_FORMAT_1.0
STDEP =   284.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  RXO, CALI, RT, RI, AC, GR, DEN, CNL, SP
END
#DEPTH           RXO       CALI         RT         RI         AC         GR        DEN        CNL         SP
 320.6250       0.000     12.409     34.434      5.812      0.209      0.359      0.262     66.458      1.177
 320.7500       0.000     12.409     34.355      5.682      0.209      0.356      0.263     66.032      1.183
 320.8750       0.000     12.408     34.476      5.578      0.209      0.364      0.264     65.359      1.185
 321.0000       0.000     12.407     34.558      5.535      0.209      0.401      0.264     64.648      1.104
 321.1250       0.000     12.406     34.538      5.537      0.209      0.462      0.265     64.088      1.060
 321.2500       0.000     12.404     34.554      5.538      0.209      0.525      0.267     63.769      1.240
 321.3750       0.000     12.403     34.917      5.494      0.209      0.541      0.268     63.647      1.482
 321.5000       0.000     12.403     35.581      5.424      0.209      0.503      0.268     63.538      1.629
 321.6250       0.000     12.403     36.286      5.352      0.209      0.445      0.269     63.300      1.707
 321.7500       0.000     12.405     36.822      5.288      0.209      0.391      0.269     62.696      1.754
 321.8750       0.000     12.406     37.202      5.222      0.209      0.351      0.268     61.323      1.751
 322.0000       0.000     12.406     37.492      5.136      0.209      0.324      0.267     59.259      1.873
 322.1250       0.000     12.406     37.523      5.020      0.209      0.312      0.267     56.861      1.914
 322.2500       0.000     12.406     37.106      4.881      0.209      0.316      0.267     54.875      1.875
 322.3750       0.000     12.405     36.189      4.735      0.209      0.338      0.268     54.946      1.815
 322.5000       0.000     12.404     35.119      4.599      0.209      0.378      0.268     57.751      1.903
 322.6250       0.000     12.402     34.174      4.488      0.209      0.432      0.266     63.007      1.924
 322.7500       0.000     12.401     33.527      4.407      0.209      0.492      0.261     69.387      1.869
 322.8750       0.000     12.401     33.213      4.354      0.209      0.526      0.254     74.834      1.801
 323.0000       0.000     12.402     33.274      4.311      0.209      0.499      0.247     77.996      1.702
 323.1250       0.000     12.403     33.973      4.256      0.209      0.415      0.241     78.404      1.650
 323.2500       0.000     12.404     35.211      4.173      0.209      0.322      0.239     76.511      1.610
 323.3750       0.000     12.404     36.181      4.060      0.209      0.265      0.239     73.329      1.538
 323.5000       0.000     12.403     36.134      3.947      0.209      0.242      0.241     70.635      1.421
 323.6250       0.000     12.403     34.928      3.867      0.209      0.246      0.244     72.388      1.270
 323.7500       0.000     12.403     33.076      3.836      0.209      0.271      0.246     84.489      1.168
