FORWARD_TEXT_FORMAT_1.0
STDEP =   288.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  AC, RT, RI, RXO, CALI, DEN, CNL, GR, SP, RA2, R2M, R025, BZSP
END
#DEPTH            AC         RT         RI        RXO       CALI        DEN        CNL         GR         SP        RA2        R2M       R025       BZSP
 300.6250       3.927      2.543      4.725      0.000     12.105    -25.368      0.000      0.000     12.135      0.612      0.612      3.425     12.135
 300.7500       6.720      3.973      4.614      0.000     12.132    -26.094      0.000      0.000     11.779      0.496      0.496      3.609     11.779
 300.8750       7.483      4.516      4.416      0.000     12.149    -26.651      0.000      0.000     11.447      0.396      0.396      3.764     11.447
 301.0000       5.246      4.437      3.852      0.000     12.156    -27.164      0.000      0.000     10.858      0.346      0.346      3.957     10.858
 301.1250       4.525      4.562      3.661      0.000     12.067    -27.582      0.000      0.000     10.605      0.336      0.336      4.036     10.605
 301.2500       4.249      4.783      3.681      0.000     11.989    -27.965      0.000      0.000     10.358      0.349      0.349      4.112     10.358
 301.3750       4.200      5.039      3.644      0.000     11.928    -28.281      0.000      0.000     10.118      0.395      0.395      4.221     10.118
 301.5000       4.279      5.298      3.545      0.000     11.865    -28.482      0.000      0.000      9.681      0.564      0.564      4.395      9.681
 301.6250       4.445      5.557      3.647      0.000     11.768    -28.536      0.000      0.000      9.523      0.931      0.931      4.373      9.523
 301.7500       4.699      5.804      3.458      0.000     11.666    -28.639      0.000      0.000      9.370      1.526      1.526      4.351      9.370
 301.8750       4.942      6.067      3.630      0.000     11.543    -28.995      0.000      0.000      9.240      2.302      2.302      4.238      9.240
 302.0000       5.223      6.356      3.615      0.000     11.504    -29.234      0.000      0.000      9.016      3.163      3.163      3.977      9.016
 302.1250       5.525      6.646      3.527      0.000     11.707    -29.512      0.000      0.000      8.914      3.985      3.985      3.875      8.914
 302.2500       5.864      6.947      3.612      0.000     12.080    -30.059      0.000      0.000      8.814      4.695      4.695      3.775      8.814
 302.3750       6.403      7.390      3.798      0.000     11.862    -30.777      0.000      0.000      8.735      5.256      5.256      3.688      8.735
 302.5000       7.061      8.031      5.400      0.000     11.175    -31.154      0.000      0.000      8.625      5.648      5.648      3.541      8.625
 302.6250       7.214      8.137      6.453      0.000     11.069    -31.250      0.000      0.000      8.539      5.931      5.931      3.498      8.539
 302.7500       6.996      7.801      7.404      0.000     11.151    -31.250      0.000      0.000      8.455      6.163      6.163      3.455      8.455
 302.8750       6.614      7.282      7.672      0.000     11.172    -31.340      0.000      0.000      8.374      6.385      6.385      3.436      8.374
 303.0000       6.228      6.853      6.017      0.000     11.112    -31.678      0.000      0.000      8.205      6.601      6.601      3.360      8.205
 303.1250       5.513      6.097      4.354      0.000     10.939    -32.396      0.000      0.000      8.118      6.774      6.774      3.283      8.118
 303.2500       5.100      5.502      4.108      0.000     10.854    -33.158      0.000      0.000      8.034      6.872      6.872      3.208      8.034
 303.3750       5.079      5.362      3.871      0.000     10.779    -33.666      0.000      0.000      7.941      6.887      6.887      3.133      7.941
 303.5000       5.258      5.444      2.802      0.000     10.665    -33.918      0.000      0.000      7.747      6.827      6.827      3.006      7.747
 303.6250       5.445      5.501      1.487      0.000     10.502    -33.928      0.000      0.000      7.664      6.735      6.735      2.973      7.664
 303.7500       5.633      5.597      3.103      0.000     10.354    -33.570      0.000      0.000      7.582      6.650      6.650      2.940      7.582
 303.8750       6.142      6.032      3.850      0.000     10.106    -33.412      0.000      0.000      7.496      6.613      6.613      2.941      7.496
 304.0000       6.573      6.314      4.094      0.000      9.940    -33.297      0.000      0.000      7.308      6.677      6.677      2.979      7.308
 304.1250       6.901      6.435      4.195      0.000      9.816    -33.278      0.000      0.000      7.234      6.832      6.832      2.992      7.234
 304.2500       7.188      6.484      4.544      0.000      9.713    -33.378      0.000      0.000      7.161      7.052      7.052      3.004      7.161
 304.3750       7.516      6.564      5.311      0.000      9.628    -33.536      0.000      0.000      7.088      7.299      7.299      3.034      7.088
 304.5000       7.669      6.495      5.295      0.000      9.576    -33.280      0.000      0.000      6.954      7.525      7.525      3.170      6.954
 304.6250       7.693      6.314      5.415      0.000      9.536    -33.386      0.000      0.000      6.914      7.703      7.703      3.260      6.914
 304.7500       7.752      6.100      5.474      0.000      9.519    -33.369      0.000      0.000      6.875      7.822      7.822      3.347      6.875
 304.8750       7.856      5.966      5.356      0.000      9.524    -33.153      0.000      0.000      6.838      7.881      7.881      3.422      6.838
 305.0000       7.989      5.950      5.069      0.000      9.538    -32.840      0.000      0.000      6.801      7.887      7.887      3.525      6.801
 305.1250       8.153      5.960      4.789      0.000      9.531    -32.688      0.000      0.000      6.789      7.865      7.865      3.538      6.789
 305.2500       8.377      6.063      4.808      0.000      9.518    -32.739      0.000      0.000      6.763      7.846      7.846      3.557      6.763
 305.3750       8.528      6.137      5.327      0.000      9.551    -32.629      0.000      0.000      6.747      7.857      7.857      3.553      6.747
 305.5000       8.473      6.101      4.975      0.000      9.629    -32.621      0.000      0.000      6.741      7.909      7.909      3.492      6.741
 305.6250       8.226      5.958      4.363      0.000      9.713    -32.795      0.000      0.000      6.728      7.961      7.961      3.460      6.728
 305.7500       7.886      5.764      4.455      0.000      9.758    -33.022      0.000      0.000      6.702      7.935      7.935      3.356      6.702
 305.8750       7.544      5.603      3.003      0.000      9.758    -32.715      0.000      0.000      6.685      7.738      7.738      3.205      6.685
 306.0000       7.454      5.563      2.891      0.000      9.752    -32.360      0.000      0.000      6.631      7.290      7.290      2.951      6.631
 306.1250       7.586      5.669      3.222      0.000      9.763    -31.967      0.000      0.000      6.618      6.697      6.697      2.911      6.618
 306.2500       7.933      5.905      3.776      0.000      9.770    -31.726      0.000      0.000      6.569      6.097      6.097      2.755      6.569
 306.3750       8.280      6.133      4.269      0.000      9.777    -31.688      0.000      0.000      6.557      5.628      5.628      2.716      6.557
 306.5000       8.196      6.096      4.310      0.000      9.826    -31.699      0.000      0.000      6.503      5.399      5.399      2.551      6.503
 306.6250       7.802      5.824      4.236      0.000      9.993    -32.058      0.000      0.000      6.490      5.343      5.343      2.534      6.490
 306.7500       7.285      5.423      2.912      0.000     10.175    -32.125      0.000      0.000      6.418      5.370      5.370      2.556      6.418
 306.8750       6.852      5.102      2.356      0.000     10.338    -32.369      0.000      0.000      6.399      5.393      5.393      2.568      6.399
 307.0000       6.707      4.987      2.667      0.000     10.290    -32.528      0.000      0.000      6.350      5.356      5.356      2.552      6.350
 307.1250       6.951      5.126      3.143      0.000      9.952    -32.248      0.000      0.000      6.344      5.256      5.256      2.527      6.344
 307.2500       7.414      5.458      3.174      0.000      9.791    -31.838      0.000      0.000      6.306      5.106      5.106      2.446      6.306
 307.3750       8.278      6.124      3.057      0.000      9.757    -31.428      0.000      0.000      6.295      4.924      4.924      2.428      6.295
 307.5000       8.885      6.581      3.675      0.000      9.736    -31.128      0.000      0.000      6.280      4.763      4.763      2.427      6.280
 307.6250       9.042      6.698      4.331      0.000      9.816    -30.897      0.000      0.000      6.280      4.680      4.680      2.444      6.280
 307.7500       8.727      6.496      4.437      0.000     10.026    -30.750      0.000      0.000      6.308      4.703      4.703      2.463      6.308
 307.8750       8.085      6.131      3.787      0.000     10.306    -30.744      0.000      0.000      6.344      4.816      4.816      2.487      6.344
 308.0000       7.727      5.954      3.223      0.000     10.454    -30.641      0.000      0.000      6.405      4.963      4.963      2.565      6.405
 308.1250       7.537      5.880      2.597      0.000     10.579    -30.582      0.000      0.000      6.420      5.081      5.081      2.598      6.420
 308.2500       7.389      5.815      2.421      0.000     10.689    -30.371      0.000      0.000      6.500      5.150      5.150      2.700      6.500
 308.3750       7.396      5.851      2.582      0.000     10.758    -30.146      0.000      0.000      6.521      5.171      5.171      2.723      6.521
