FORWARD_TEXT_FORMAT_1.0
STDEP =   333.5000
ENDEP =  2716.8501
RLEV  =     0.1250
CURVENAME =  SP, R2M, R025, CNL, DEN, GR, RT, RI, RXO, AC, C1, C2, BZSP, RA2
END
#DEPTH            SP        R2M       R025        CNL        DEN         GR         RT         RI        RXO         AC         C1         C2       BZSP        RA2
 344.0000      -1.156      6.197      1.907  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.156      6.197
 344.1250      -1.171      6.083      1.919  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.171      6.083
 344.2500      -1.179      6.046      1.951  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.179      6.046
 344.3750      -1.182      6.084      2.037  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.182      6.084
 344.5000      -1.178      6.101      2.120  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.178      6.101
 344.6250      -1.166      6.027      2.149  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.166      6.027
 344.7500      -1.141      5.926      2.169  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.141      5.926
 344.8750      -1.098      5.921      2.246  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.098      5.921
 345.0000      -1.033      5.922      2.314  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -1.033      5.922
 345.1250      -0.947      5.929      2.406  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.947      5.929
 345.2500      -0.844      5.990      2.453  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.844      5.990
 345.3750      -0.726      6.085      2.430  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.726      6.085
 345.5000      -0.602      6.000      2.507  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.602      6.000
 345.6250      -0.481      6.025      2.493  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.481      6.025
 345.7500      -0.376      6.182      2.543  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.376      6.182
 345.8750      -0.284      6.396      2.555  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.284      6.396
 346.0000      -0.203      6.500      2.564  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.203      6.500
 346.1250      -0.129      6.440      2.618  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.129      6.440
 346.2500      -0.063      6.500      2.649  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.063      6.500
 346.3750      -0.005      6.668      2.678  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     -0.005      6.668
 346.5000       0.057      7.021      2.618  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.057      7.021
 346.6250       0.116      7.093      2.622  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.116      7.093
 346.7500       0.170      7.022      2.664  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.170      7.022
 346.8750       0.221      7.096      2.667  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.221      7.096
 347.0000       0.271      7.292      2.618  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.271      7.292
 347.1250       0.336      7.384      2.563  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.336      7.384
 347.2500       0.396      7.162      2.587  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.396      7.162
 347.3750       0.465      7.136      2.567  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.465      7.136
 347.5000       0.544      7.364      2.518  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.544      7.364
