FORWARD_TEXT_FORMAT_1.0
STDEP =   2365.810
ENDEP =   2704.000
RLEV  =      0.125
CURVENAME =  AC, C1, C2, CNL, DEN, GR, RI, RT, RXO, SP
END
#DEPTH           AC         C1         C2        CNL        DEN         GR         RI         RT        RXO         SP
2382.060      76.824      8.252      8.226     20.223      2.592    127.970     10.180     10.526     13.663    -18.273
2382.185      77.337      8.253      8.222     20.991      2.596    128.696      9.448      9.603     14.569    -18.333
2382.310      77.754      8.250      8.213     22.103      2.599    138.246      8.517      8.615     14.253    -18.378
2382.435      78.240      8.252      8.211     22.780      2.597    140.734      7.715      7.908     10.978    -18.406
2382.560      79.046      8.253      8.214     22.808      2.590    142.685      7.482      7.724      9.624    -18.418
2382.685      80.254      8.254      8.218     22.609      2.582    139.941      7.729      7.973     10.062    -18.415
2382.810      81.697      8.253      8.221     22.648      2.574    139.241      8.249      8.502     10.772    -18.408
2382.935      83.052      8.251      8.223     23.192      2.564    144.043      8.803      9.115     10.443    -18.410
2383.060      83.937      8.253      8.218     24.056      2.555    140.344      9.211      9.587      9.561    -18.423
2383.185      83.983      8.251      8.214     24.414      2.555    145.456      9.020      9.326      8.877    -18.446
2383.310      83.144      8.253      8.215     24.322      2.564    141.151      8.780      9.050      9.078    -18.459
2383.435      81.708      8.252      8.215     24.263      2.577    143.734      8.596      8.859      9.559    -18.488
2383.560      80.060      8.251      8.215     24.380      2.584    146.935      8.539      8.816     10.444    -18.530
2383.685      78.549      8.253      8.221     24.508      2.580    142.900      8.638      8.940     11.690    -18.579
2383.810      77.358      8.254      8.224     24.212      2.566    143.169      8.863      9.203     12.190    -18.630
2383.935      76.459      8.251      8.215     23.300      2.560    134.695      9.141      9.520     11.590    -18.709
2384.060      75.265      8.253      8.213     22.138      2.566    128.750      9.445      9.870     11.937    -18.821
2384.185      73.858      8.253      8.210     20.879      2.580    124.849      9.798     10.264     12.768    -18.951
2384.310      72.472      8.252      8.208     19.542      2.591    121.083     10.253     10.770     13.608    -19.088
2384.435      71.427      8.250      8.210     18.144      2.596    117.088     10.827     11.424     14.117    -19.228
2384.560      71.062      8.250      8.213     16.851      2.591    117.021     11.428     12.125     14.242    -19.380
2384.685      71.774      8.253      8.210     16.458      2.582    111.910     11.837     12.610     17.477    -19.510
2384.810      73.008      8.253      8.210     17.059      2.573    111.641     11.891     12.695     21.420    -19.624
2384.935      74.231      8.253      8.219     18.424      2.569    112.663     11.644     12.420     20.232    -19.716
